stop_id,stop_name,stop_desc,stop_lat,stop_lon
2533,"Maso di Brenz",,46.065674,11.172380
2534,Via Eremo,,46.067908,11.175717
2535,"Eremo",,46.068202,11.178588
2537,Verona "Big Center",,46.045763,11.130821
2538,Verona "Big Center",,46.045691,11.131061
2540,Viale Caproni "Luxottica",,45.864859,11.017764
2542,Via di Vittorio,,45.863141,11.020959
2543,Villa Lagarina V. Zandonai,,45.912479,11.031904
2544,Via Rebora Posta,Via Rebora,45.891517,11.041681
2549,Povo "Polo Sociale",,46.065613,11.158009
2660,Patone Gera,,45.897940,11.002067
2662,Patone Gera,,45.897942,11.002101
2663,Gardolo 4 Nov. 2 Giugno,,46.101253,11.112956
2664,Spini Loghét,,46.120499,11.091086
2665,Spini Loghét,,46.120567,11.091220
2667,Fersina "Trentino Servizi",,46.044826,11.122297
2668,Fersina "Zona Artigianale",,46.038207,11.124589
2669,Fersina "Zona Sportiva",,46.041683,11.123711
2670,Piazza Cappuccini,,46.073078,11.128449
2671,Avancini Laste,,46.071422,11.130842
2672,Collina "Ospedalino",,46.069880,11.131249
2673,Giardini Collina,,46.068141,11.129681
2674,Via Vannetti "Casa di Riposo",,45.889813,11.037087
2675,Via Bomporti "Stadio Quercia",,45.901390,11.038899
2676,Via Cittadella Via Mozart,,45.901288,11.040122
2680,Gazzoletti Piazza Dante,,46.071816,11.121974
2682,Povo Sommarive,,46.065586,11.150448
2683,Povo "Irst",,46.067312,11.150548
2686,Isera Piazza S.Vincenzo,,45.885396,11.009290
2688,Villazzano "Stazione Fs",,46.044757,11.139690
2689,Villazzano "Stazione Fs",,46.044754,11.139437
2695,Asiago "Enaip",,46.045458,11.138553
2696,Asiago "Enaip",,46.045465,11.138353
2697,Via Cittadella Via Bomporti,,45.902739,11.038737
2699,Ss.12 "Rovercenter",,45.864206,11.029050
2701,Ss 349 Pozzata,,46.041779,11.142383
2706,Via Pedroni,,45.892216,11.033020
2707,Via Unione "Residenza Eos",,45.893524,11.027404
2710,Via Unione Scuole Filzi,,45.888721,11.024219
2713,Dos Trento Mariano,,46.073694,11.114481
2715,Gardolo P.Le Neufahrn Park,,46.106159,11.110842
2734,Via Lungo Leno Sinistro,,45.884493,11.039114
2746,Lenzima Via Della Vittoria,Via Della Vittoria 13,45.877392,10.991755
2747,Lenzima Via Della Vittoria,Via Della Vittoria Fronte Civ. 11,45.877342,10.991623
2757,Noriglio Mon. Ai Caduti,,45.884029,11.070128
2758,Viale Vittoria Scuole Degasperi,,45.884931,11.023892
2759,Via Delle Laste,,46.072466,11.129920
2760,Savignano,,45.938008,11.056056
2761,S.Lucia Chiesa,,45.914889,11.025888
2763,Gard.D.Mezzo Dos D.La Luna,Via Dos De La Luna 54,46.115344,11.117269
2764,Gard.D.Mezzo Maso Garbini,Via Dos De La Luna 2,46.114494,11.116634
2767,Vigo Meano "S.Pietro",,46.128251,11.134574
2768,Via Unione Scuole Filzi,,45.888575,11.024197
2770,Via Comel,,45.904014,11.042310
2775,Via Zigherane,,45.879247,11.023765
2780,Ss 45 S.Giorgio,,46.078668,11.099302
2781,Rovereto Autostazione,,45.891201,11.040400
2782,Spini "Pal. Giano",,46.121548,11.095251
2783,Spini "Pal. Giano",,46.121743,11.094961
2784,Spini Varsavia,,46.125601,11.098331
2785,Spini Varsavia,,46.125804,11.098199
2786,Spini Masadori,,46.119922,11.096500
2787,Spini Masadori,,46.120114,11.096203
2788,Spini Bregenz,,46.117160,11.092520
2789,Spini Bregenz,,46.117016,11.092579
