route_id,service_id,trip_id,shape_id 
3_ritorno,S,1148,3_ritorno 
3_ritorno,S,1149,3_ritorno 
3_ritorno,S,1150,3_ritorno 
3_ritorno,S,1151,3_ritorno 
3_ritorno,S,1152,3_ritorno 
3_ritorno,D,1153,3_ritorno 
3_ritorno,D,1154,3_ritorno 
3_ritorno,D,1155,3_ritorno 
3_ritorno,D,1156,3_ritorno 
3_ritorno,D,1157,3_ritorno 
3_ritorno,D,1158,3_ritorno 
3_ritorno,D,1159,3_ritorno 
3_ritorno,D,1160,3_ritorno 
3_ritorno,D,1161,3_ritorno 
3_ritorno,D,1162,3_ritorno 
3_ritorno,D,1163,3_ritorno 
3_ritorno,D,1164,3_ritorno 
3_ritorno,D,1165,3_ritorno 
3_ritorno,D,1166,3_ritorno 
3_ritorno,D,1167,3_ritorno 
3_ritorno,D,1168,3_ritorno 
3_ritorno,D,1169,3_ritorno 
3_ritorno,D,1170,3_ritorno 
3_ritorno,D,1171,3_ritorno 
3_ritorno,D,1172,3_ritorno 
3_ritorno,D,1173,3_ritorno 
3_ritorno,D,1174,3_ritorno 
3_ritorno,D,1175,3_ritorno 
3_ritorno,D,1176,3_ritorno 
3_ritorno,D,1177,3_ritorno 
3_ritorno,D,1178,3_ritorno 
3_ritorno,D,1179,3_ritorno 
3_ritorno,D,1180,3_ritorno 
3_ritorno,D,1181,3_ritorno 
3_ritorno,D,1182,3_ritorno 
3_ritorno,D,1183,3_ritorno 
3A_ritorno,L_V,1184,3A_ritorno 
3A_ritorno,L_V,1185,3A_ritorno 
3A_ritorno,L_V,1186,3A_ritorno 
3A_ritorno,L_V,1187,3A_ritorno 
3A_ritorno,L_V,1188,3A_ritorno 
3A_ritorno,L_V,1189,3A_ritorno 
3A_ritorno,L_V,1190,3A_ritorno 
3A_ritorno,L_V,1191,3A_ritorno 
3A_ritorno,L_V,1192,3A_ritorno 
3A_ritorno,L_V,1193,3A_ritorno 
3A_ritorno,L_V,1194,3A_ritorno 
3A_ritorno,L_V,1195,3A_ritorno 
3A_ritorno,L_V,1196,3A_ritorno 
3A_ritorno,L_V,1197,3A_ritorno 
3A_ritorno,L_V,1198,3A_ritorno 
3A_ritorno,L_V,1199,3A_ritorno 
3A_ritorno,L_V,1200,3A_ritorno 
3A_ritorno,L_V,1201,3A_ritorno 
3A_ritorno,L_V,1202,3A_ritorno 
3A_ritorno,L_V,1203,3A_ritorno 
3A_ritorno,L_V,1204,3A_ritorno 
4_andata,L_V,1205,4_andata 
4_andata,L_V,1206,4_andata 
4_andata,L_V,1207,4_andata 
4_andata,L_V,1208,4_andata 
4_andata,L_V,1209,4_andata 
4_andata,L_V,1210,4_andata 
4_andata,L_V,1211,4_andata 
4_andata,L_V,1212,4_andata 
4_andata,L_V,1213,4_andata 
4_andata,L_V,1214,4_andata 
4_andata,L_V,1215,4_andata 
4_andata,L_V,1216,4_andata 
4_andata,L_V,1217,4_andata 
4_andata,L_V,1218,4_andata 
4_andata,L_V,1219,4_andata 
4_andata,L_V,1220,4_andata 
4_andata,L_V,1221,4_andata 
4_andata,L_V,1222,4_andata 
4_andata,L_V,1223,4_andata 
4_andata,L_V,1224,4_andata 
4_andata,L_V,1225,4_andata 
4_andata,L_V,1226,4_andata 
4_andata,L_V,1227,4_andata 
4_andata,L_V,1228,4_andata 
4_andata,L_V,1229,4_andata 
4_andata,L_V,1230,4_andata 
4_andata,L_V,1231,4_andata 
4_andata,L_V,1232,4_andata 
4_andata,L_V,1233,4_andata 
4_andata,L_V,1234,4_andata 
4_andata,L_V,1235,4_andata 
4_andata,L_V,1236,4_andata 
4_andata,L_V,1237,4_andata 
4_andata,L_V,1238,4_andata 
4_andata,L_V,1239,4_andata 
4_andata,L_V,1240,4_andata 
4_andata,L_V,1241,4_andata 
4_andata,L_V,1242,4_andata 
4_andata,L_V,1243,4_andata 
4_andata,L_V,1244,4_andata 
4_andata,L_V,1245,4_andata 
4_andata,L_V,1246,4_andata 
4_andata,L_V,1247,4_andata 
4_andata,L_V,1248,4_andata 
